Name: Prince Regent Lane, A112, Instruction: Head south on Prince Regent Lane, A112, Distance: 39.1 meters, Time: 28.1 seconds
Name: Bennett Road, Instruction: Turn left onto Bennett Road, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 157.5 meters, Time: 113.4 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.5 seconds
Name: Prince Regent Lane, Instruction: Turn left onto Prince Regent Lane, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 30.6 meters, Time: 22.1 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Continue straight, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 62.5 meters, Time: 45.0 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn slight left, Distance: 178.6 meters, Time: 128.6 seconds
Name: -, Instruction: Keep left, Distance: 57.8 meters, Time: 41.6 seconds
Name: -, Instruction: Turn slight right, Distance: 126.0 meters, Time: 90.7 seconds
Name: -, Instruction: Keep left, Distance: 171.9 meters, Time: 123.8 seconds
Name: Sophia Road, Instruction: Turn right onto Sophia Road, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 74.3 meters, Time: 53.5 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.4 seconds
Name: Freemasons Road, Instruction: Turn left onto Freemasons Road, Distance: 200.1 meters, Time: 144.0 seconds
Name: Kerry Close, Instruction: Turn right onto Kerry Close, Distance: 73.3 meters, Time: 52.8 seconds
Name: Kerry Close, Instruction: Turn left onto Kerry Close, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
