Name: Albrecht Avenue, Instruction: Head southeast on Albrecht Avenue, Distance: 16.3 meters, Time: 11.7 seconds
Name: Molley Green Place, Instruction: Turn left onto Molley Green Place, Distance: 233.2 meters, Time: 167.9 seconds
Name: -, Instruction: Turn left, Distance: 32.3 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 153.5 meters, Time: 110.5 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: McKinnon Street, Instruction: Turn left onto McKinnon Street, Distance: 106.3 meters, Time: 76.5 seconds
Name: Richardson Road, Instruction: Turn left onto Richardson Road, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 46.0 meters, Time: 33.2 seconds
Name: -, Instruction: Turn right, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Keep right, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 379.5 meters, Time: 273.2 seconds
Name: -, Instruction: Keep right, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Turn left, Distance: 53.9 meters, Time: 38.8 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
