Name: Rue Stephenson, Instruction: Head south on Rue Stephenson, Distance: 214.2 meters, Time: 154.2 seconds
Name: Boulevard de la Chapelle, Instruction: Turn left onto Boulevard de la Chapelle, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Keep right, Distance: 30.9 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 314.3 meters, Time: 226.3 seconds
Name: -, Instruction: Keep right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Rue de Compiègne, Instruction: Turn right onto Rue de Compiègne, Distance: 12.0 meters, Time: 8.6 seconds
Name: Rue de Maubeuge, Instruction: Turn slight left onto Rue de Maubeuge, Distance: 166.7 meters, Time: 120.0 seconds
Name: Rue Saint-Vincent de Paul, Instruction: Turn left onto Rue Saint-Vincent de Paul, Distance: 8.0 meters, Time: 5.8 seconds
Name: Rue Saint-Vincent de Paul, Instruction: Keep right onto Rue Saint-Vincent de Paul, Distance: 104.9 meters, Time: 75.5 seconds
Name: -, Instruction: Turn right, Distance: 42.3 meters, Time: 30.4 seconds
Name: -, Instruction: Turn left, Distance: 85.7 meters, Time: 61.7 seconds
Name: Rue Fénelon, Instruction: Continue straight onto Rue Fénelon, Distance: 51.9 meters, Time: 37.4 seconds
Name: -, Instruction: Turn left, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 33.4 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 133.9 meters, Time: 96.4 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Keep left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Keep left, Distance: 60.1 meters, Time: 43.3 seconds
Name: -, Instruction: Turn slight left, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 88.4 meters, Time: 63.6 seconds
Name: -, Instruction: Turn right, Distance: 188.9 meters, Time: 136.0 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Keep left, Distance: 163.5 meters, Time: 117.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
