Name: Thorwaldsenstraße, Instruction: Head southeast on Thorwaldsenstraße, Distance: 221.3 meters, Time: 159.4 seconds
Name: -, Instruction: Turn right, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: Loristraße, Instruction: Turn right onto Loristraße, Distance: 96.3 meters, Time: 69.4 seconds
Name: -, Instruction: Turn left, Distance: 704.6 meters, Time: 507.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Keep left, Distance: 225.9 meters, Time: 162.6 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.7 seconds
Name: Karlstraße, Instruction: Turn left onto Karlstraße, Distance: 463.2 meters, Time: 333.5 seconds
Name: Katharina-von-Bora-Straße, Instruction: Turn right onto Katharina-von-Bora-Straße, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 191.3 meters, Time: 137.7 seconds
Name: -, Instruction: Turn right, Distance: 113.3 meters, Time: 81.6 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: Barer Straße, Instruction: Turn right onto Barer Straße, Distance: 26.9 meters, Time: 19.3 seconds
Name: Ottostraße, Instruction: Turn sharp right onto Ottostraße, Distance: 32.7 meters, Time: 23.6 seconds
Name: -, Instruction: Turn left, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn slight right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 38.8 meters, Time: 28.0 seconds
Name: -, Instruction: Keep right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 27.5 meters, Time: 19.8 seconds
Name: Maxburgstraße, Instruction: Turn left onto Maxburgstraße, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
