Name: Rue de Lille, Instruction: Head northwest on Rue de Lille, Distance: 230.6 meters, Time: 166.1 seconds
Name: -, Instruction: Keep right, Distance: 126.7 meters, Time: 91.2 seconds
Name: -, Instruction: Turn left, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 348.9 meters, Time: 251.2 seconds
Name: -, Instruction: Turn right, Distance: 19.0 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 133.7 meters, Time: 96.3 seconds
Name: -, Instruction: Keep left, Distance: 126.4 meters, Time: 91.0 seconds
Name: Place de Finlande, Instruction: Turn right onto Place de Finlande, Distance: 4.4 meters, Time: 3.1 seconds
Name: Place de Finlande, Instruction: Turn slight left onto Place de Finlande, Distance: 68.1 meters, Time: 49.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 86.5 meters, Time: 62.3 seconds
Name: Esplanade Habib Bourguiba, Instruction: Continue straight onto Esplanade Habib Bourguiba, Distance: 442.5 meters, Time: 318.6 seconds
Name: Esplanade Habib Bourguiba, Instruction: Continue straight onto Esplanade Habib Bourguiba, Distance: 9.7 meters, Time: 7.0 seconds
Name: Esplanade Habib Bourguiba, Instruction: Keep right onto Esplanade Habib Bourguiba, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Turn slight left, Distance: 76.2 meters, Time: 54.8 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 50.4 meters, Time: 36.3 seconds
Name: -, Instruction: Keep right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
