Name: Rua São Gonçalo do Amarante, Instruction: Head southwest on Rua São Gonçalo do Amarante, Distance: 166.7 meters, Time: 120.0 seconds
Name: Estrada de Camorim, Instruction: Turn left onto Estrada de Camorim, Distance: 157.1 meters, Time: 113.1 seconds
Name: Rua Godofredo Marques, Instruction: Turn right onto Rua Godofredo Marques, Distance: 946.9 meters, Time: 681.7 seconds
Name: Estrada dos Bandeirantes, Instruction: Turn left onto Estrada dos Bandeirantes, Distance: 91.3 meters, Time: 65.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 34.0 meters, Time: 24.5 seconds
Name: Estrada dos Bandeirantes, Instruction: Turn slight right onto Estrada dos Bandeirantes, Distance: 209.9 meters, Time: 151.1 seconds
Name: -, Instruction: Turn left, Distance: 185.0 meters, Time: 133.2 seconds
Name: -, Instruction: Turn right, Distance: 408.5 meters, Time: 294.1 seconds
Name: -, Instruction: Turn left, Distance: 20.9 meters, Time: 15.0 seconds
Name: Avenida Olof Palme, Instruction: Turn left onto Avenida Olof Palme, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Keep left, Distance: 77.0 meters, Time: 55.5 seconds
Name: -, Instruction: Turn left, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn right, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn left, Distance: 24.9 meters, Time: 18.0 seconds
Name: -, Instruction: Turn right, Distance: 55.6 meters, Time: 40.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
