Name: Travessa Embú, Instruction: Head northeast on Travessa Embú, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn slight right, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 76.5 meters, Time: 55.1 seconds
Name: Travessa Padre Lima, Instruction: Turn right onto Travessa Padre Lima, Distance: 67.1 meters, Time: 48.3 seconds
Name: Travessa Padre Lima, Instruction: Turn left onto Travessa Padre Lima, Distance: 67.8 meters, Time: 48.8 seconds
Name: Rua Padre Lima, Instruction: Turn right onto Rua Padre Lima, Distance: 149.2 meters, Time: 107.4 seconds
Name: -, Instruction: Turn right, Distance: 48.6 meters, Time: 35.0 seconds
Name: Estrada Rio D'Ouro, Instruction: Turn left onto Estrada Rio D'Ouro, Distance: 347.6 meters, Time: 250.3 seconds
Name: -, Instruction: Turn right, Distance: 35.5 meters, Time: 25.6 seconds
Name: Avenida Pastor Martin Luther King Junior, Instruction: Turn left onto Avenida Pastor Martin Luther King Junior, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 102.8 meters, Time: 74.0 seconds
Name: -, Instruction: Turn right, Distance: 108.5 meters, Time: 78.1 seconds
Name: Avenida Pastor Martin Luther King Junior, Instruction: Turn right onto Avenida Pastor Martin Luther King Junior, Distance: 29.9 meters, Time: 21.5 seconds
Name: Rua Ender, Instruction: Turn left onto Rua Ender, Distance: 589.9 meters, Time: 424.7 seconds
Name: Rua Arnaldo Guinle, Instruction: Turn slight right onto Rua Arnaldo Guinle, Distance: 180.7 meters, Time: 130.1 seconds
Name: -, Instruction: Arrive at Rua Arnaldo Guinle, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
