Name: Wiersma Road, Instruction: Head east on Wiersma Road, Distance: 34.6 meters, Time: 24.9 seconds
Name: Haldane Road, Instruction: Turn right onto Haldane Road, Distance: 22.7 meters, Time: 16.3 seconds
Name: Wilhelmina Street, Instruction: Turn sharp left onto Wilhelmina Street, Distance: 76.8 meters, Time: 55.3 seconds
Name: Roslyn Road, Instruction: Turn left onto Roslyn Road, Distance: 145.9 meters, Time: 105.0 seconds
Name: Rosendale Road, Instruction: Turn right onto Rosendale Road, Distance: 53.6 meters, Time: 38.6 seconds
Name: Toll Road, Instruction: Turn left onto Toll Road, Distance: 42.8 meters, Time: 30.8 seconds
Name: -, Instruction: Turn left, Distance: 95.6 meters, Time: 68.9 seconds
Name: Belmont Road, M92, Instruction: Turn right onto Belmont Road, M92, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Keep right, Distance: 494.6 meters, Time: 356.1 seconds
Name: -, Instruction: Keep right, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn slight right, Distance: 172.9 meters, Time: 124.5 seconds
Name: -, Instruction: Turn left, Distance: 125.8 meters, Time: 90.6 seconds
Name: -, Instruction: Keep left, Distance: 47.1 meters, Time: 33.9 seconds
Name: Eureka Road, Instruction: Turn right onto Eureka Road, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 507.8 meters, Time: 365.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.8 meters, Time: 3.4 seconds
Name: Campground Road, Instruction: Turn sharp right onto Campground Road, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: Campground Road, Instruction: Turn right onto Campground Road, Distance: 13.9 meters, Time: 10.0 seconds
Name: Campground Road, Instruction: Enter the roundabout and take the 2nd exit onto Campground Road, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Arrive at Campground Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
