Name: Avenida Paseo de la Reforma, Instruction: Head northeast on Avenida Paseo de la Reforma, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Keep left, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Keep left, Distance: 45.8 meters, Time: 33.0 seconds
Name: Calle Dinamarca, Instruction: Turn left onto Calle Dinamarca, Distance: 781.9 meters, Time: 562.9 seconds
Name: Calle Puebla, Instruction: Turn left onto Calle Puebla, Distance: 103.9 meters, Time: 74.8 seconds
Name: Calle Morelia, Instruction: Turn right onto Calle Morelia, Distance: 401.1 meters, Time: 288.8 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Keep right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
