Name: Calle Jacarandas, Instruction: Head northeast on Calle Jacarandas, Distance: 272.4 meters, Time: 196.1 seconds
Name: Calle Nardo, Instruction: Turn slight right onto Calle Nardo, Distance: 125.5 meters, Time: 90.4 seconds
Name: Avenida de las Rosas, Instruction: Turn left onto Avenida de las Rosas, Distance: 19.8 meters, Time: 14.3 seconds
Name: Avenida de las Rosas, Instruction: Turn right onto Avenida de las Rosas, Distance: 124.3 meters, Time: 89.5 seconds
Name: Calle Gardenia, Instruction: Turn sharp right onto Calle Gardenia, Distance: 233.3 meters, Time: 168.0 seconds
Name: Avenida de las Torres, Instruction: Turn sharp left onto Avenida de las Torres, Distance: 199.1 meters, Time: 143.3 seconds
Name: Calle Dalias, Instruction: Turn left onto Calle Dalias, Distance: 105.5 meters, Time: 76.0 seconds
Name: Calle Héctor Sarabia, Instruction: Turn right onto Calle Héctor Sarabia, Distance: 114.1 meters, Time: 82.2 seconds
Name: Cerrada Girasol, Instruction: Keep right onto Cerrada Girasol, Distance: 112.1 meters, Time: 80.7 seconds
Name: Avenida de las Torres, Instruction: Turn left onto Avenida de las Torres, Distance: 108.3 meters, Time: 78.0 seconds
Name: -, Instruction: Turn left, Distance: 69.9 meters, Time: 50.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 82.0 meters, Time: 59.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Keep right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Turn right, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
