Name: Targo Road, Instruction: Head northeast on Targo Road, Distance: 97.7 meters, Time: 70.3 seconds
Name: Bombala Street, Instruction: Turn right onto Bombala Street, Distance: 142.3 meters, Time: 102.4 seconds
Name: Bombala Street, Instruction: Turn left onto Bombala Street, Distance: 574.6 meters, Time: 413.7 seconds
Name: -, Instruction: Turn right, Distance: 87.8 meters, Time: 63.2 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.4 seconds
Name: Magowar Road, Instruction: Turn right onto Magowar Road, Distance: 18.1 meters, Time: 13.1 seconds
Name: Macklin Street, Instruction: Turn left onto Macklin Street, Distance: 385.7 meters, Time: 277.7 seconds
Name: -, Instruction: Turn left, Distance: 50.2 meters, Time: 36.2 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 143.7 meters, Time: 103.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
