Name: Castleton Road, Instruction: Head east on Castleton Road, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 185.3 meters, Time: 133.4 seconds
Name: -, Instruction: Keep right, Distance: 97.9 meters, Time: 70.5 seconds
Name: -, Instruction: Turn right, Distance: 157.1 meters, Time: 113.1 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: Court Farm Road, Instruction: Turn left onto Court Farm Road, Distance: 746.7 meters, Time: 537.6 seconds
Name: College View, Instruction: Enter the roundabout and take the 2nd exit onto College View, Distance: 146.5 meters, Time: 105.5 seconds
Name: Mottingham Lane, Instruction: Turn right onto Mottingham Lane, Distance: 106.7 meters, Time: 76.8 seconds
Name: -, Instruction: Turn left, Distance: 427.0 meters, Time: 307.4 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: Mottingham Lane, Instruction: Turn left onto Mottingham Lane, Distance: 96.5 meters, Time: 69.5 seconds
Name: Carters Hill Close, Instruction: Turn right onto Carters Hill Close, Distance: 5.3 meters, Time: 3.8 seconds
Name: Carter's Hill, Instruction: Turn left onto Carter's Hill, Distance: 260.5 meters, Time: 187.5 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 177.6 meters, Time: 127.9 seconds
Name: -, Instruction: Turn left, Distance: 67.3 meters, Time: 48.4 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: Alnwick Road, Instruction: Turn left onto Alnwick Road, Distance: 21.2 meters, Time: 15.2 seconds
Name: Sibthorpe Road, Instruction: Turn right onto Sibthorpe Road, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
