Name: Chemin Gay, Instruction: Head northeast on Chemin Gay, Distance: 28.8 meters, Time: 20.7 seconds
Name: Chemin de la Bédoyère, Instruction: Turn right onto Chemin de la Bédoyère, Distance: 460.1 meters, Time: 331.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 125.1 meters, Time: 90.1 seconds
Name: -, Instruction: Turn left, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 123.2 meters, Time: 88.7 seconds
Name: -, Instruction: Turn left, Distance: 105.5 meters, Time: 75.9 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn slight left, Distance: 48.4 meters, Time: 34.8 seconds
Name: Place Saint-Blaise, Instruction: Turn right onto Place Saint-Blaise, Distance: 49.9 meters, Time: 36.0 seconds
Name: Rue Saint-Blaise, Instruction: Turn right onto Rue Saint-Blaise, Distance: 57.7 meters, Time: 41.5 seconds
Name: Rue Riblette, Instruction: Turn left onto Rue Riblette, Distance: 68.5 meters, Time: 49.3 seconds
Name: -, Instruction: Turn right, Distance: 96.4 meters, Time: 69.4 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Turn left, Distance: 116.8 meters, Time: 84.1 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: Rue Vitruve, Instruction: Turn left onto Rue Vitruve, Distance: 188.4 meters, Time: 135.7 seconds
Name: -, Instruction: Arrive at Rue Vitruve, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
