Name: Chemin de Ceinture du Lac Inférieur, Instruction: Head north on Chemin de Ceinture du Lac Inférieur, Distance: 40.9 meters, Time: 29.4 seconds
Name: Allée des Dames, Instruction: Turn right onto Allée des Dames, Distance: 341.2 meters, Time: 245.7 seconds
Name: Allée des Fortifications, Instruction: Turn left onto Allée des Fortifications, Distance: 109.8 meters, Time: 79.0 seconds
Name: -, Instruction: Turn right, Distance: 153.0 meters, Time: 110.1 seconds
Name: -, Instruction: Turn right, Distance: 11.6 meters, Time: 8.4 seconds
Name: Avenue du Maréchal Maunoury, Instruction: Turn left onto Avenue du Maréchal Maunoury, Distance: 11.1 meters, Time: 8.0 seconds
Name: Avenue de Saint-Cloud, Instruction: Turn right onto Avenue de Saint-Cloud, Distance: 41.0 meters, Time: 29.6 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.2 seconds
Name: Avenue de Saint-Cloud, Instruction: Turn right onto Avenue de Saint-Cloud, Distance: 18.0 meters, Time: 13.0 seconds
Name: Place de Colombie, Instruction: Continue straight onto Place de Colombie, Distance: 41.3 meters, Time: 29.8 seconds
Name: Place de Colombie, Instruction: Turn left onto Place de Colombie, Distance: 60.9 meters, Time: 43.9 seconds
Name: Place de Colombie, Instruction: Turn right onto Place de Colombie, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.4 seconds
Name: -, Instruction: Keep left, Distance: 50.8 meters, Time: 36.6 seconds
Name: -, Instruction: Turn right, Distance: 79.2 meters, Time: 57.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
