Name: Harrier Avenue, Instruction: Head north on Harrier Avenue, Distance: 230.0 meters, Time: 165.6 seconds
Name: Falcon Circuit, Instruction: Turn right onto Falcon Circuit, Distance: 353.4 meters, Time: 254.5 seconds
Name: Falcon Circuit, Instruction: Keep right onto Falcon Circuit, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn slight right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn left, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 344.6 meters, Time: 248.1 seconds
Name: Liverpool-Parramatta T-Way Shared Path, Instruction: Turn right onto Liverpool-Parramatta T-Way Shared Path, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn left, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn left, Distance: 59.1 meters, Time: 42.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
