Name: Viewmount Avenue, Instruction: Head east on Viewmount Avenue, Distance: 0.9 meters, Time: 0.7 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 267.6 meters, Time: 192.7 seconds
Name: -, Instruction: Keep right, Distance: 9.8 meters, Time: 7.0 seconds
Name: Briar Hill Avenue, Instruction: Turn left onto Briar Hill Avenue, Distance: 86.8 meters, Time: 62.5 seconds
Name: Chaplin Crescent, Instruction: Turn right onto Chaplin Crescent, Distance: 322.9 meters, Time: 232.5 seconds
Name: Chaplin Crescent, Instruction: Keep left onto Chaplin Crescent, Distance: 176.3 meters, Time: 127.0 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 444.9 meters, Time: 320.3 seconds
Name: -, Instruction: Turn slight left, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Turn slight left, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Keep right, Distance: 995.3 meters, Time: 716.6 seconds
Name: -, Instruction: Turn slight right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Keep left, Distance: 13.8 meters, Time: 10.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
