Name: Place de la Concorde, Instruction: Head south on Place de la Concorde, Distance: 937.7 meters, Time: 675.1 seconds
Name: -, Instruction: Turn left, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Keep left, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn slight left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn slight left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 30.1 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 31.4 meters, Time: 22.6 seconds
Name: Promenade des Champs-Élysées, Instruction: Turn right onto Promenade des Champs-Élysées, Distance: 154.1 meters, Time: 111.0 seconds
Name: -, Instruction: Turn slight right, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
