Name: Machtlfinger Straße, Instruction: Head north on Machtlfinger Straße, Distance: 282.0 meters, Time: 203.0 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 34.5 meters, Time: 24.9 seconds
Name: -, Instruction: Keep left, Distance: 27.7 meters, Time: 20.0 seconds
Name: -, Instruction: Turn left, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn right, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Turn left, Distance: 55.8 meters, Time: 40.1 seconds
Name: -, Instruction: Turn right, Distance: 37.0 meters, Time: 26.6 seconds
Name: Mauthäuslstraße, Instruction: Turn sharp left onto Mauthäuslstraße, Distance: 58.4 meters, Time: 42.1 seconds
Name: Listseeweg, Instruction: Turn sharp right onto Listseeweg, Distance: 61.0 meters, Time: 43.9 seconds
Name: Bannwaldseestraße, Instruction: Turn left onto Bannwaldseestraße, Distance: 231.3 meters, Time: 166.5 seconds
Name: -, Instruction: Arrive at Bannwaldseestraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
