Name: Pasir Ris Street 12, Instruction: Head northeast on Pasir Ris Street 12, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 75.4 meters, Time: 54.3 seconds
Name: -, Instruction: Turn slight left, Distance: 289.9 meters, Time: 208.7 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn slight right, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 320.7 meters, Time: 230.9 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 202.0 meters, Time: 145.4 seconds
Name: -, Instruction: Turn slight left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
