Name: Woodgate Road, Instruction: Head south on Woodgate Road, Distance: 69.4 meters, Time: 50.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 1157.8 meters, Time: 833.6 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 52.0 meters, Time: 37.5 seconds
Name: -, Instruction: Continue straight, Distance: 130.3 meters, Time: 93.8 seconds
Name: Gray Road, Instruction: Turn right onto Gray Road, Distance: 48.6 meters, Time: 35.0 seconds
Name: Gabriel Road, Instruction: Turn left onto Gabriel Road, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn left, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
