Name: Stolzenfelsstraße, Instruction: Head east on Stolzenfelsstraße, Distance: 142.6 meters, Time: 102.7 seconds
Name: Neufriedenheimer Straße, Instruction: Turn left onto Neufriedenheimer Straße, Distance: 71.1 meters, Time: 51.2 seconds
Name: -, Instruction: Turn right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 451.3 meters, Time: 324.9 seconds
Name: -, Instruction: Turn left, Distance: 316.4 meters, Time: 227.8 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 43.4 meters, Time: 31.2 seconds
Name: -, Instruction: Turn right, Distance: 86.5 meters, Time: 62.3 seconds
Name: -, Instruction: Keep left, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Turn left, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Keep left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
