Name: Isarfußweg, Instruction: Head northwest on Isarfußweg, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 24.8 meters, Time: 17.9 seconds
Name: Herterichstraße, Instruction: Turn slight right onto Herterichstraße, Distance: 103.2 meters, Time: 74.3 seconds
Name: -, Instruction: Turn right, Distance: 120.8 meters, Time: 87.0 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn left, Distance: 24.7 meters, Time: 17.8 seconds
Name: Frans-Hals-Straße, Instruction: Turn right onto Frans-Hals-Straße, Distance: 428.1 meters, Time: 308.2 seconds
Name: Diefenbachstraße, Instruction: Turn left onto Diefenbachstraße, Distance: 233.1 meters, Time: 167.8 seconds
Name: Grünbauerstraße, Instruction: Turn right onto Grünbauerstraße, Distance: 95.1 meters, Time: 68.4 seconds
Name: Lauweg, Instruction: Turn left onto Lauweg, Distance: 131.7 meters, Time: 94.8 seconds
Name: Bleibtreustraße, Instruction: Turn sharp left onto Bleibtreustraße, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 119.1 meters, Time: 85.8 seconds
Name: -, Instruction: Turn right, Distance: 64.0 meters, Time: 46.1 seconds
Name: -, Instruction: Keep left, Distance: 8.8 meters, Time: 6.3 seconds
Name: Begasweg, Instruction: Turn left onto Begasweg, Distance: 148.2 meters, Time: 106.7 seconds
Name: Begasweg, Instruction: Turn left onto Begasweg, Distance: 740.8 meters, Time: 533.4 seconds
Name: -, Instruction: Keep right, Distance: 84.3 meters, Time: 60.7 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Keep right, Distance: 135.4 meters, Time: 97.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
