Name: Rua Carlos Oswald, Instruction: Head northwest on Rua Carlos Oswald, Distance: 18.3 meters, Time: 13.2 seconds
Name: Avenida David Nasser, Instruction: Turn sharp left onto Avenida David Nasser, Distance: 53.1 meters, Time: 38.2 seconds
Name: Avenida das Américas, Instruction: Turn slight right onto Avenida das Américas, Distance: 60.7 meters, Time: 43.7 seconds
Name: -, Instruction: Turn right, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn left, Distance: 89.9 meters, Time: 64.7 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.9 seconds
Name: Avenida das Américas, Instruction: Turn right onto Avenida das Américas, Distance: 337.5 meters, Time: 243.0 seconds
Name: -, Instruction: Turn left, Distance: 76.1 meters, Time: 54.8 seconds
Name: Avenida das Américas, Instruction: Turn right onto Avenida das Américas, Distance: 110.4 meters, Time: 79.5 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Keep right, Distance: 308.6 meters, Time: 222.2 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: Rua Professor Alfredo Colombo, Instruction: Turn left onto Rua Professor Alfredo Colombo, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: Rua Professor Alfredo Colombo, Instruction: Turn left onto Rua Professor Alfredo Colombo, Distance: 72.9 meters, Time: 52.5 seconds
Name: Avenida Malibu, Instruction: Enter the roundabout and take the 1st exit onto Avenida Malibu, Distance: 104.1 meters, Time: 75.0 seconds
Name: Avenida Malibu, Instruction: Turn slight right onto Avenida Malibu, Distance: 6.0 meters, Time: 4.3 seconds
Name: Avenida Malibu, Instruction: Keep left onto Avenida Malibu, Distance: 388.2 meters, Time: 279.5 seconds
Name: Avenida Malibu, Instruction: Enter the roundabout and take the 3rd exit onto Avenida Malibu, Distance: 157.2 meters, Time: 113.2 seconds
Name: Avenida Mário Fernandes Guedes, Instruction: Turn right onto Avenida Mário Fernandes Guedes, Distance: 91.2 meters, Time: 65.7 seconds
Name: Avenida das Américas, Instruction: Turn left onto Avenida das Américas, Distance: 42.3 meters, Time: 30.5 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
