Name: Ingham Avenue, Instruction: Head southeast on Ingham Avenue, Distance: 104.4 meters, Time: 75.2 seconds
Name: -, Instruction: Keep left, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 97.9 meters, Time: 70.5 seconds
Name: -, Instruction: Turn slight left, Distance: 113.3 meters, Time: 81.6 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: Bain Avenue, Instruction: Turn left onto Bain Avenue, Distance: 204.4 meters, Time: 147.2 seconds
Name: Logan Avenue, Instruction: Turn right onto Logan Avenue, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 83.1 meters, Time: 59.8 seconds
Name: -, Instruction: Turn left, Distance: 41.2 meters, Time: 29.7 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: Withrow Avenue, Instruction: Turn left onto Withrow Avenue, Distance: 204.5 meters, Time: 147.3 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 140.9 meters, Time: 101.4 seconds
Name: -, Instruction: Turn slight right, Distance: 83.2 meters, Time: 59.9 seconds
Name: -, Instruction: Turn left, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 112.1 meters, Time: 80.7 seconds
Name: -, Instruction: Keep right, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
