Name: Woodbridge Street, Instruction: Head south on Woodbridge Street, Distance: 153.6 meters, Time: 110.6 seconds
Name: Suters Avenue, Instruction: Turn left onto Suters Avenue, Distance: 351.2 meters, Time: 252.9 seconds
Name: Allott Street, Instruction: Turn right onto Allott Street, Distance: 172.1 meters, Time: 123.9 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 137.5 meters, Time: 99.0 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: Swifthome Avenue, Instruction: Turn right onto Swifthome Avenue, Distance: 3.6 meters, Time: 2.6 seconds
Name: Swifthome Avenue, Instruction: Keep left onto Swifthome Avenue, Distance: 13.3 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: Elara Boulevard shared path, Instruction: Turn left onto Elara Boulevard shared path, Distance: 222.9 meters, Time: 160.5 seconds
Name: Richmond Road cycleway, Instruction: Turn slight right onto Richmond Road cycleway, Distance: 787.7 meters, Time: 567.1 seconds
Name: Richmond Road cycleway, Instruction: Turn right onto Richmond Road cycleway, Distance: 15.5 meters, Time: 11.1 seconds
Name: Richmond Road (west) shared path, Instruction: Turn left onto Richmond Road (west) shared path, Distance: 482.0 meters, Time: 347.0 seconds
Name: Excelsior Avenue, Instruction: Turn left onto Excelsior Avenue, Distance: 88.4 meters, Time: 63.6 seconds
Name: -, Instruction: Arrive at Excelsior Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
