Name: Shellbank Lane, Instruction: Head southwest on Shellbank Lane, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Turn right, Distance: 91.1 meters, Time: 65.6 seconds
Name: -, Instruction: Continue straight, Distance: 282.9 meters, Time: 203.7 seconds
Name: -, Instruction: Turn right, Distance: 189.2 meters, Time: 136.2 seconds
Name: -, Instruction: Turn slight left, Distance: 56.1 meters, Time: 40.4 seconds
Name: -, Instruction: Turn right, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn left, Distance: 128.8 meters, Time: 92.7 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
