Name: Rue Notre-Dame de Bonne Nouvelle, Instruction: Head south on Rue Notre-Dame de Bonne Nouvelle, Distance: 100.9 meters, Time: 72.7 seconds
Name: Rue Beauregard, Instruction: Turn right onto Rue Beauregard, Distance: 89.8 meters, Time: 64.6 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 78.8 meters, Time: 56.8 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: Rue Poissonnière, Instruction: Turn left onto Rue Poissonnière, Distance: 46.6 meters, Time: 33.5 seconds
Name: Rue de Cléry, Instruction: Turn right onto Rue de Cléry, Distance: 179.0 meters, Time: 128.9 seconds
Name: Rue de Cléry, Instruction: Continue straight onto Rue de Cléry, Distance: 408.0 meters, Time: 293.8 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn slight right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn slight left, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.2 seconds
Name: Passage des Deux Pavillons, Instruction: Turn left onto Passage des Deux Pavillons, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: Passage du Perron, Instruction: Turn left onto Passage du Perron, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn right, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn left, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Turn right, Distance: 24.5 meters, Time: 17.7 seconds
Name: -, Instruction: Turn left, Distance: 83.7 meters, Time: 60.3 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: Allée Cocteau, Instruction: Turn left onto Allée Cocteau, Distance: 104.2 meters, Time: 75.0 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: Galerie de Chartres, Instruction: Turn left onto Galerie de Chartres, Distance: 9.1 meters, Time: 6.6 seconds
Name: Galerie du Jardin, Instruction: Turn right onto Galerie du Jardin, Distance: 12.3 meters, Time: 8.9 seconds
Name: Galerie de Montpensier, Instruction: Turn left onto Galerie de Montpensier, Distance: 1.4 meters, Time: 1.0 seconds
Name: Péristyle de Montpensier, Instruction: Continue straight onto Péristyle de Montpensier, Distance: 20.8 meters, Time: 15.0 seconds
Name: Passage de Montpensier, Instruction: Turn right onto Passage de Montpensier, Distance: 14.9 meters, Time: 10.8 seconds
Name: Rue de Montpensier, Instruction: Turn left onto Rue de Montpensier, Distance: 54.7 meters, Time: 39.4 seconds
Name: Rue de Richelieu, Instruction: Turn left onto Rue de Richelieu, Distance: 93.3 meters, Time: 67.2 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Turn left, Distance: 53.0 meters, Time: 38.2 seconds
Name: -, Instruction: Turn right, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn left, Distance: 86.1 meters, Time: 62.0 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
