Name: Earlsdale Avenue, Instruction: Head west on Earlsdale Avenue, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn slight left, Distance: 47.7 meters, Time: 34.4 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 353.8 meters, Time: 254.7 seconds
Name: -, Instruction: Keep right, Distance: 7.7 meters, Time: 5.6 seconds
Name: Glenhurst Avenue, Instruction: Turn left onto Glenhurst Avenue, Distance: 243.5 meters, Time: 175.3 seconds
Name: Winona Drive, Instruction: Turn right onto Winona Drive, Distance: 463.6 meters, Time: 333.8 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
