Name: Rue Marguerite de Rochechouart, Instruction: Head northeast on Rue Marguerite de Rochechouart, Distance: 433.6 meters, Time: 312.2 seconds
Name: Boulevard Marguerite de Rochechouart, Instruction: Turn right onto Boulevard Marguerite de Rochechouart, Distance: 56.6 meters, Time: 40.7 seconds
Name: Rue de Clignancourt, Instruction: Continue straight onto Rue de Clignancourt, Distance: 246.5 meters, Time: 177.5 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 237.6 meters, Time: 171.1 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: Rue Ramey, Instruction: Turn left onto Rue Ramey, Distance: 353.4 meters, Time: 254.4 seconds
Name: Rue Ramey, Instruction: Continue straight onto Rue Ramey, Distance: 121.9 meters, Time: 87.8 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Keep left, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 67.7 meters, Time: 48.8 seconds
Name: -, Instruction: Turn left, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: Rue du Poteau, Instruction: Turn left onto Rue du Poteau, Distance: 538.5 meters, Time: 387.7 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 61.0 meters, Time: 43.9 seconds
Name: Passage du Champ Marie, Instruction: Turn sharp left onto Passage du Champ Marie, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Arrive at Passage du Champ Marie, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
