Name: Grant Street, Instruction: Head north on Grant Street, Distance: 48.7 meters, Time: 35.1 seconds
Name: Mckinley Road, Instruction: Turn left onto Mckinley Road, Distance: 214.6 meters, Time: 154.5 seconds
Name: -, Instruction: Turn right, Distance: 176.1 meters, Time: 126.8 seconds
Name: College Road, Instruction: Turn left onto College Road, Distance: 32.3 meters, Time: 23.2 seconds
Name: -, Instruction: Turn right, Distance: 135.1 meters, Time: 97.2 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: Rosmead Avenue, M28, Instruction: Turn right onto Rosmead Avenue, M28, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 104.4 meters, Time: 75.2 seconds
Name: Hampstead Road, Instruction: Turn left onto Hampstead Road, Distance: 155.1 meters, Time: 111.7 seconds
Name: -, Instruction: Turn right, Distance: 83.9 meters, Time: 60.4 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: Princes Road, Instruction: Turn left onto Princes Road, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 68.3 meters, Time: 49.2 seconds
Name: York Street, Instruction: Turn left onto York Street, Distance: 163.9 meters, Time: 118.0 seconds
Name: 2nd Avenue, Instruction: Turn right onto 2nd Avenue, Distance: 175.3 meters, Time: 126.2 seconds
Name: -, Instruction: Turn left, Distance: 133.4 meters, Time: 96.1 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 162.9 meters, Time: 117.3 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 36.9 meters, Time: 26.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
