Name: Newham Way, A13, Instruction: Head east on Newham Way, A13, Distance: 36.8 meters, Time: 26.5 seconds
Name: Newham Way, A13, Instruction: Keep left onto Newham Way, A13, Distance: 33.0 meters, Time: 23.8 seconds
Name: Newham Way, Instruction: Turn sharp left onto Newham Way, Distance: 523.7 meters, Time: 377.1 seconds
Name: Noel Road, Instruction: Turn right onto Noel Road, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: Jack Dash Way, Instruction: Turn right onto Jack Dash Way, Distance: 12.0 meters, Time: 8.6 seconds
Name: Viking Gardens, Instruction: Keep left onto Viking Gardens, Distance: 84.4 meters, Time: 60.7 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn slight right, Distance: 59.3 meters, Time: 42.7 seconds
Name: -, Instruction: Turn left, Distance: 37.7 meters, Time: 27.1 seconds
Name: Sorrel Gardens, Instruction: Turn right onto Sorrel Gardens, Distance: 12.7 meters, Time: 9.2 seconds
Name: Sorrel Gardens, Instruction: Turn left onto Sorrel Gardens, Distance: 40.8 meters, Time: 29.4 seconds
Name: Columbine Avenue, Instruction: Turn right onto Columbine Avenue, Distance: 208.4 meters, Time: 150.0 seconds
Name: Swan Approach, Instruction: Enter the roundabout and take the 2nd exit onto Swan Approach, Distance: 209.2 meters, Time: 150.6 seconds
Name: Selby Close, Instruction: Turn sharp left onto Selby Close, Distance: 70.1 meters, Time: 50.5 seconds
Name: Chetwood Walk, Instruction: Turn right onto Chetwood Walk, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
