Name: Leonrodstraße, Instruction: Head northeast on Leonrodstraße, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 754.5 meters, Time: 543.2 seconds
Name: -, Instruction: Turn left, Distance: 166.0 meters, Time: 119.5 seconds
Name: -, Instruction: Turn left, Distance: 270.0 meters, Time: 194.4 seconds
Name: -, Instruction: Turn right, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 254.1 meters, Time: 182.9 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 101.3 meters, Time: 72.9 seconds
Name: -, Instruction: Continue straight, Distance: 49.1 meters, Time: 35.3 seconds
Name: Rosa-Aschenbrenner-Bogen, Instruction: Turn left onto Rosa-Aschenbrenner-Bogen, Distance: 6.2 meters, Time: 4.5 seconds
Name: Therese-Studer-Straße, Instruction: Turn right onto Therese-Studer-Straße, Distance: 107.6 meters, Time: 77.5 seconds
Name: -, Instruction: Turn slight left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 29.9 meters, Time: 21.5 seconds
Name: Deidesheimer Straße, Instruction: Turn left onto Deidesheimer Straße, Distance: 12.9 meters, Time: 9.3 seconds
Name: Hildeboldstraße, Instruction: Turn right onto Hildeboldstraße, Distance: 225.9 meters, Time: 162.6 seconds
Name: -, Instruction: Arrive at Hildeboldstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
