Name: Albert-Roßhaupter-Straße, St 2343, Instruction: Head east on Albert-Roßhaupter-Straße, St 2343, Distance: 3.1 meters, Time: 2.2 seconds
Name: Klingerstraße, Instruction: Turn right onto Klingerstraße, Distance: 11.2 meters, Time: 8.0 seconds
Name: Albert-Roßhaupter-Straße, Instruction: Turn left onto Albert-Roßhaupter-Straße, Distance: 926.7 meters, Time: 667.2 seconds
Name: Plinganserstraße, Instruction: Turn right onto Plinganserstraße, Distance: 133.7 meters, Time: 96.2 seconds
Name: -, Instruction: Turn left, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Turn left, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Keep right, Distance: 103.7 meters, Time: 74.6 seconds
Name: -, Instruction: Keep left, Distance: 137.2 meters, Time: 98.8 seconds
Name: Brudermühlstraße, Instruction: Turn slight left onto Brudermühlstraße, Distance: 99.3 meters, Time: 71.5 seconds
Name: -, Instruction: Turn right, Distance: 106.9 meters, Time: 76.9 seconds
Name: Brudermühlstraße, Instruction: Turn right onto Brudermühlstraße, Distance: 737.6 meters, Time: 531.1 seconds
Name: Schäftlarnstraße, Instruction: Turn sharp right onto Schäftlarnstraße, Distance: 13.5 meters, Time: 9.7 seconds
Name: Brudermühlstraße, Instruction: Turn sharp left onto Brudermühlstraße, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Arrive at Brudermühlstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
