Name: West 9th Avenue, Instruction: Head west on West 9th Avenue, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 116.8 meters, Time: 84.1 seconds
Name: Lakewood Gulch, Instruction: Turn right onto Lakewood Gulch, Distance: 147.8 meters, Time: 106.4 seconds
Name: -, Instruction: Continue straight, Distance: 69.5 meters, Time: 50.1 seconds
Name: -, Instruction: Turn left, Distance: 81.0 meters, Time: 58.3 seconds
Name: West 7th Avenue, Instruction: Turn right onto West 7th Avenue, Distance: 6.6 meters, Time: 4.8 seconds
Name: Wolff Street, Instruction: Turn left onto Wolff Street, Distance: 55.6 meters, Time: 40.0 seconds
Name: -, Instruction: Turn right, Distance: 60.4 meters, Time: 43.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
