Name: Allée Saint-Denis, Instruction: Head northeast on Allée Saint-Denis, Distance: 102.8 meters, Time: 74.0 seconds
Name: Route de Suresnes, Instruction: Turn slight right onto Route de Suresnes, Distance: 89.8 meters, Time: 64.7 seconds
Name: -, Instruction: Turn left, Distance: 128.2 meters, Time: 92.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 22.0 meters, Time: 15.9 seconds
Name: -, Instruction: Turn left, Distance: 156.3 meters, Time: 112.5 seconds
Name: -, Instruction: Turn left, Distance: 45.8 meters, Time: 33.0 seconds
Name: -, Instruction: Turn slight right, Distance: 508.8 meters, Time: 366.3 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn left, Distance: 38.1 meters, Time: 27.4 seconds
Name: -, Instruction: Turn right, Distance: 79.2 meters, Time: 57.1 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.1 seconds
Name: Rue Octave Feuillet, Instruction: Turn right onto Rue Octave Feuillet, Distance: 31.8 meters, Time: 22.9 seconds
Name: Rue Édouard Fournier, Instruction: Keep left onto Rue Édouard Fournier, Distance: 132.5 meters, Time: 95.4 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 37.0 meters, Time: 26.7 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: Rue Jean Richepin, Instruction: Turn left onto Rue Jean Richepin, Distance: 457.9 meters, Time: 329.7 seconds
Name: -, Instruction: Turn left, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
