Name: Barge Walk, Instruction: Head northwest on Barge Walk, Distance: 74.0 meters, Time: 53.3 seconds
Name: Pilot Walk, Instruction: Turn right onto Pilot Walk, Distance: 72.6 meters, Time: 52.3 seconds
Name: Mudlarks Boulevard, Instruction: Turn left onto Mudlarks Boulevard, Distance: 170.2 meters, Time: 122.5 seconds
Name: -, Instruction: Keep left, Distance: 261.8 meters, Time: 188.5 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Keep right, Distance: 92.9 meters, Time: 66.9 seconds
Name: -, Instruction: Turn right, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Keep right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Keep right, Distance: 67.5 meters, Time: 48.6 seconds
Name: -, Instruction: Turn slight right, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Keep left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
