Name: Dee Street, Instruction: Head west on Dee Street, Distance: 31.1 meters, Time: 22.4 seconds
Name: Lansbury Gardens, Instruction: Turn left onto Lansbury Gardens, Distance: 110.2 meters, Time: 79.4 seconds
Name: Blair Street, Instruction: Turn right onto Blair Street, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Turn left, Distance: 72.3 meters, Time: 52.1 seconds
Name: -, Instruction: Turn left, Distance: 42.2 meters, Time: 30.4 seconds
Name: East India Dock Road, Instruction: Turn left onto East India Dock Road, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 40.1 meters, Time: 28.8 seconds
Name: East India Dock Road, Instruction: Turn right onto East India Dock Road, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Turn left, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Keep right, Distance: 86.1 meters, Time: 62.0 seconds
Name: -, Instruction: Turn right, Distance: 129.6 meters, Time: 93.3 seconds
Name: -, Instruction: Turn left, Distance: 63.4 meters, Time: 45.6 seconds
Name: -, Instruction: Turn right, Distance: 68.4 meters, Time: 49.3 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 23.4 meters, Time: 16.8 seconds
Name: Naval Row, Instruction: Turn slight right onto Naval Row, Distance: 47.3 meters, Time: 34.0 seconds
Name: Poplar High Street, Instruction: Turn right onto Poplar High Street, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn left, Distance: 50.9 meters, Time: 36.6 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 41.9 meters, Time: 30.2 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 185.3 meters, Time: 133.4 seconds
Name: -, Instruction: Turn left, Distance: 33.7 meters, Time: 24.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
