Name: Service Road, Instruction: Head east on Service Road, Distance: 413.3 meters, Time: 297.6 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: West Coast Cycle Path, Instruction: Turn right onto West Coast Cycle Path, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Keep right, Distance: 161.3 meters, Time: 116.1 seconds
Name: -, Instruction: Turn right, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 51.9 meters, Time: 37.4 seconds
Name: -, Instruction: Turn left, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn right, Distance: 137.1 meters, Time: 98.7 seconds
Name: Birkenhead Road, Instruction: Turn left onto Birkenhead Road, Distance: 110.9 meters, Time: 79.9 seconds
Name: -, Instruction: Arrive at Birkenhead Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
