Name: Wyland Road, Instruction: Head northwest on Wyland Road, Distance: 53.6 meters, Time: 38.6 seconds
Name: Spilbergen Street, Instruction: Turn left onto Spilbergen Street, Distance: 508.1 meters, Time: 365.9 seconds
Name: Coornhoop Street, Instruction: Turn left onto Coornhoop Street, Distance: 373.0 meters, Time: 268.6 seconds
Name: -, Instruction: Turn right, Distance: 54.1 meters, Time: 38.9 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: Letchworth Drive, Instruction: Turn right onto Letchworth Drive, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: Letchworth Drive, Instruction: Turn right onto Letchworth Drive, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 105.0 meters, Time: 75.6 seconds
Name: Louis Thibault Drive, Instruction: Turn right onto Louis Thibault Drive, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Arrive at Louis Thibault Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
