Name: Calle Río Lerma, Instruction: Head northeast on Calle Río Lerma, Distance: 78.7 meters, Time: 56.6 seconds
Name: Avenida Río Tíber, EJE 2 PTE, Instruction: Turn right onto Avenida Río Tíber, EJE 2 PTE, Distance: 106.4 meters, Time: 76.6 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 100.0 meters, Time: 72.0 seconds
Name: -, Instruction: Keep right, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 81.5 meters, Time: 58.7 seconds
Name: -, Instruction: Turn right, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: Calle Amberes, Instruction: Turn right onto Calle Amberes, Distance: 443.7 meters, Time: 319.5 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 58.3 meters, Time: 42.0 seconds
Name: -, Instruction: Turn left, Distance: 47.0 meters, Time: 33.8 seconds
Name: -, Instruction: Turn left, Distance: 33.4 meters, Time: 24.1 seconds
Name: Glorieta de los Insurgentes, Instruction: Keep right onto Glorieta de los Insurgentes, Distance: 81.9 meters, Time: 59.0 seconds
Name: Jalapa, Instruction: Turn right onto Jalapa, Distance: 287.5 meters, Time: 207.0 seconds
Name: Calle Durango, Instruction: Turn left onto Calle Durango, Distance: 97.7 meters, Time: 70.3 seconds
Name: Calle Plaza Río de Janeiro, Instruction: Turn right onto Calle Plaza Río de Janeiro, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
