Name: Crockford Boulevard, Instruction: Head south on Crockford Boulevard, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 39.9 meters, Time: 28.7 seconds
Name: -, Instruction: Turn left, Distance: 201.5 meters, Time: 145.1 seconds
Name: Bertrand Avenue, Instruction: Turn right onto Bertrand Avenue, Distance: 186.7 meters, Time: 134.4 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 250.3 meters, Time: 180.2 seconds
Name: -, Instruction: Turn right, Distance: 313.7 meters, Time: 225.9 seconds
Name: -, Instruction: Turn right, Distance: 288.1 meters, Time: 207.4 seconds
Name: -, Instruction: Turn right, Distance: 219.4 meters, Time: 158.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
