Name: 長久保通り, Instruction: Head west on 長久保通り, Distance: 32.9 meters, Time: 23.7 seconds
Name: 大泉学園通り, Instruction: Turn left onto 大泉学園通り, Distance: 79.5 meters, Time: 57.3 seconds
Name: -, Instruction: Turn left, Distance: 256.7 meters, Time: 184.8 seconds
Name: -, Instruction: Turn right, Distance: 234.8 meters, Time: 169.0 seconds
Name: -, Instruction: Turn left, Distance: 223.5 meters, Time: 160.9 seconds
Name: -, Instruction: Turn right, Distance: 235.1 meters, Time: 169.3 seconds
Name: -, Instruction: Turn left, Distance: 44.0 meters, Time: 31.7 seconds
Name: -, Instruction: Turn right, Distance: 86.6 meters, Time: 62.3 seconds
Name: -, Instruction: Turn left, Distance: 337.2 meters, Time: 242.8 seconds
Name: -, Instruction: Turn right, Distance: 78.0 meters, Time: 56.2 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 143.2 meters, Time: 103.1 seconds
Name: -, Instruction: Turn left, Distance: 90.7 meters, Time: 65.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
