Name: Avenida Mergulhão, Instruction: Head east on Avenida Mergulhão, Distance: 140.5 meters, Time: 101.2 seconds
Name: Rua Bem-Te-Vi, Instruction: Turn left onto Rua Bem-Te-Vi, Distance: 36.1 meters, Time: 26.0 seconds
Name: Rua Bem-Te-Vi, Instruction: Keep right onto Rua Bem-Te-Vi, Distance: 77.8 meters, Time: 56.0 seconds
Name: -, Instruction: Turn left, Distance: 70.3 meters, Time: 50.6 seconds
Name: Rua Ieso, Instruction: Turn right onto Rua Ieso, Distance: 146.7 meters, Time: 105.6 seconds
Name: Rua Nilo, Instruction: Turn left onto Rua Nilo, Distance: 45.4 meters, Time: 32.7 seconds
Name: Estrada do Mendanha, Instruction: Turn right onto Estrada do Mendanha, Distance: 486.2 meters, Time: 350.1 seconds
Name: -, Instruction: Turn right, Distance: 75.6 meters, Time: 54.4 seconds
Name: Estrada do Mendanha, Instruction: Turn right onto Estrada do Mendanha, Distance: 319.7 meters, Time: 230.2 seconds
Name: Estrada João Melo, Instruction: Turn right onto Estrada João Melo, Distance: 51.6 meters, Time: 37.2 seconds
Name: Estrada João Melo, Instruction: Turn sharp left onto Estrada João Melo, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Keep right, Distance: 164.3 meters, Time: 118.3 seconds
Name: Estrada do Mendanha, Instruction: Turn slight right onto Estrada do Mendanha, Distance: 237.4 meters, Time: 170.9 seconds
Name: Rua João Gualberto Braga, Instruction: Turn right onto Rua João Gualberto Braga, Distance: 9.6 meters, Time: 6.9 seconds
Name: Rua João Gualberto Braga, Instruction: Turn sharp left onto Rua João Gualberto Braga, Distance: 7.4 meters, Time: 5.3 seconds
Name: Estrada do Mendanha, Instruction: Turn right onto Estrada do Mendanha, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: Estrada do Mendanha, Instruction: Turn right onto Estrada do Mendanha, Distance: 48.0 meters, Time: 34.5 seconds
Name: Rua Geneton Moraes Neto, Instruction: Turn left onto Rua Geneton Moraes Neto, Distance: 16.9 meters, Time: 12.2 seconds
Name: Rua Geneton Moraes Neto, Instruction: Turn sharp right onto Rua Geneton Moraes Neto, Distance: 14.5 meters, Time: 10.4 seconds
Name: Estrada do Mendanha, Instruction: Turn left onto Estrada do Mendanha, Distance: 512.8 meters, Time: 369.2 seconds
Name: -, Instruction: Turn left, Distance: 22.0 meters, Time: 15.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
