Name: Tengah Garden Walk, Instruction: Head northeast on Tengah Garden Walk, Distance: 17.6 meters, Time: 12.6 seconds
Name: Plantation Crescent, Instruction: Turn right onto Plantation Crescent, Distance: 78.5 meters, Time: 56.5 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 214.1 meters, Time: 154.2 seconds
Name: -, Instruction: Turn right, Distance: 53.8 meters, Time: 38.8 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: Plantation Crescent, Instruction: Turn left onto Plantation Crescent, Distance: 461.5 meters, Time: 332.3 seconds
Name: -, Instruction: Turn left, Distance: 728.0 meters, Time: 524.2 seconds
Name: -, Instruction: Turn left, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Turn right, Distance: 45.5 meters, Time: 32.7 seconds
Name: -, Instruction: Turn left, Distance: 100.8 meters, Time: 72.6 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn slight right, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 0.9 meters, Time: 0.7 seconds
Name: -, Instruction: Turn left, Distance: 384.5 meters, Time: 276.8 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: Bukit Batok Street 11, Instruction: Turn right onto Bukit Batok Street 11, Distance: 94.0 meters, Time: 67.7 seconds
Name: -, Instruction: Arrive at Bukit Batok Street 11, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
