Name: Wellesley Street East, Instruction: Head east on Wellesley Street East, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 536.3 meters, Time: 386.1 seconds
Name: Maitland Terrace, Instruction: Turn right onto Maitland Terrace, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 58.3 meters, Time: 41.9 seconds
Name: -, Instruction: Turn slight left, Distance: 512.4 meters, Time: 368.9 seconds
Name: -, Instruction: Keep left, Distance: 156.1 meters, Time: 112.4 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 188.3 meters, Time: 135.6 seconds
Name: Hart House Circle, Instruction: Turn right onto Hart House Circle, Distance: 5.6 meters, Time: 4.0 seconds
Name: King's College Circle, Instruction: Turn sharp left onto King's College Circle, Distance: 21.2 meters, Time: 15.3 seconds
Name: King's College Circle, Instruction: Turn slight right onto King's College Circle, Distance: 192.4 meters, Time: 138.5 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 87.1 meters, Time: 62.7 seconds
Name: -, Instruction: Turn left, Distance: 42.3 meters, Time: 30.4 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn slight left, Distance: 235.1 meters, Time: 169.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
