Name: South Fraser Way, Instruction: Head north on South Fraser Way, Distance: 406.4 meters, Time: 292.6 seconds
Name: South Evanston Street, Instruction: Turn right onto South Evanston Street, Distance: 107.4 meters, Time: 77.4 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 155.9 meters, Time: 112.2 seconds
Name: -, Instruction: Turn right, Distance: 22.7 meters, Time: 16.4 seconds
Name: -, Instruction: Turn left, Distance: 48.7 meters, Time: 35.1 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: East Centrepoint Drive, Instruction: Turn right onto East Centrepoint Drive, Distance: 105.9 meters, Time: 76.2 seconds
Name: South Fraser Court, Instruction: Turn right onto South Fraser Court, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 292.4 meters, Time: 210.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
