Name: Ollenhauerstraße, Instruction: Head south on Ollenhauerstraße, Distance: 51.7 meters, Time: 37.2 seconds
Name: -, Instruction: Turn right, Distance: 112.2 meters, Time: 80.8 seconds
Name: -, Instruction: Turn left, Distance: 176.5 meters, Time: 127.1 seconds
Name: Putzbrunner Straße, Instruction: Turn right onto Putzbrunner Straße, Distance: 308.9 meters, Time: 222.4 seconds
Name: -, Instruction: Keep left, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Keep left, Distance: 211.1 meters, Time: 152.0 seconds
Name: -, Instruction: Keep right, Distance: 111.3 meters, Time: 80.1 seconds
Name: -, Instruction: Turn right, Distance: 72.6 meters, Time: 52.2 seconds
Name: Pfanzeltplatz, Instruction: Continue straight onto Pfanzeltplatz, Distance: 44.7 meters, Time: 32.2 seconds
Name: -, Instruction: Arrive at Pfanzeltplatz, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
