Name: Ellington Square, Instruction: Head southwest on Ellington Square, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 139.2 meters, Time: 100.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 214.7 meters, Time: 154.6 seconds
Name: -, Instruction: Turn left, Distance: 82.6 meters, Time: 59.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 6.3 meters, Time: 4.5 seconds
Name: Ang Mo Kio Avenue 4, Instruction: Turn left onto Ang Mo Kio Avenue 4, Distance: 181.4 meters, Time: 130.6 seconds
Name: -, Instruction: Turn right, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn slight left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Keep right, Distance: 286.2 meters, Time: 206.1 seconds
Name: Mayflower Way, Instruction: Turn left onto Mayflower Way, Distance: 196.8 meters, Time: 141.7 seconds
Name: -, Instruction: Continue straight, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn right, Distance: 201.6 meters, Time: 145.2 seconds
Name: Ang Mo Kio Street 12, Instruction: Turn left onto Ang Mo Kio Street 12, Distance: 232.0 meters, Time: 167.1 seconds
Name: Ang Mo Kio Street 12, Instruction: Keep right onto Ang Mo Kio Street 12, Distance: 36.7 meters, Time: 26.4 seconds
Name: Ang Mo Kio Avenue 6, Instruction: Turn slight right onto Ang Mo Kio Avenue 6, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 205.1 meters, Time: 147.7 seconds
Name: -, Instruction: Turn left, Distance: 109.3 meters, Time: 78.7 seconds
Name: -, Instruction: Turn left, Distance: 135.9 meters, Time: 97.9 seconds
Name: -, Instruction: Turn right, Distance: 26.9 meters, Time: 19.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
