Name: MacKenzie Road, Instruction: Head northwest on MacKenzie Road, Distance: 320.4 meters, Time: 230.7 seconds
Name: -, Instruction: Continue straight, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Turn left, Distance: 454.1 meters, Time: 327.0 seconds
Name: -, Instruction: Turn left, Distance: 424.2 meters, Time: 305.4 seconds
Name: -, Instruction: Turn right, Distance: 155.7 meters, Time: 112.1 seconds
Name: -, Instruction: Turn right, Distance: 349.4 meters, Time: 251.6 seconds
Name: -, Instruction: Turn right, Distance: 20.5 meters, Time: 14.7 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 96.7 meters, Time: 69.6 seconds
Name: Mount Elizabeth Link, Instruction: Turn left onto Mount Elizabeth Link, Distance: 3.5 meters, Time: 2.5 seconds
Name: Bideford Road, Instruction: Turn right onto Bideford Road, Distance: 119.5 meters, Time: 86.1 seconds
Name: -, Instruction: Keep right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Keep left, Distance: 212.4 meters, Time: 152.9 seconds
Name: -, Instruction: Keep left, Distance: 278.1 meters, Time: 200.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
