Name: Stamford Square South, Instruction: Head west on Stamford Square South, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 230.1 meters, Time: 165.7 seconds
Name: -, Instruction: Turn right, Distance: 145.3 meters, Time: 104.6 seconds
Name: -, Instruction: Turn left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: Westbourne Avenue, Instruction: Turn left onto Westbourne Avenue, Distance: 819.9 meters, Time: 590.3 seconds
Name: Conroy Avenue, Instruction: Turn right onto Conroy Avenue, Distance: 82.3 meters, Time: 59.3 seconds
Name: Maybourne Avenue, Instruction: Turn left onto Maybourne Avenue, Distance: 145.2 meters, Time: 104.6 seconds
Name: Donside Drive, Instruction: Turn right onto Donside Drive, Distance: 159.2 meters, Time: 114.7 seconds
Name: -, Instruction: Turn left, Distance: 657.2 meters, Time: 473.2 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn slight right, Distance: 86.2 meters, Time: 62.1 seconds
Name: -, Instruction: Turn right, Distance: 23.0 meters, Time: 16.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
