Name: Swan Lane, Instruction: Head southwest on Swan Lane, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 978.8 meters, Time: 704.8 seconds
Name: -, Instruction: Turn left, Distance: 155.3 meters, Time: 111.8 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: Trading Place, Instruction: Turn left onto Trading Place, Distance: 5.7 meters, Time: 4.1 seconds
Name: Waitākere Lane, Instruction: Turn right onto Waitākere Lane, Distance: 116.5 meters, Time: 83.9 seconds
Name: -, Instruction: Turn left, Distance: 69.7 meters, Time: 50.1 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn slight left, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn slight left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn slight right, Distance: 93.4 meters, Time: 67.3 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 57.3 meters, Time: 41.3 seconds
Name: -, Instruction: Continue straight, Distance: 109.1 meters, Time: 78.5 seconds
Name: -, Instruction: Turn right, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn slight right, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Keep right, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: Smythe Road, Instruction: Turn right onto Smythe Road, Distance: 123.9 meters, Time: 89.2 seconds
Name: -, Instruction: Turn left, Distance: 54.8 meters, Time: 39.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
