Name: Aspiring Avenue, Instruction: Head west on Aspiring Avenue, Distance: 271.4 meters, Time: 195.4 seconds
Name: Rakaia Rise, Instruction: Turn left onto Rakaia Rise, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Turn right, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 246.3 meters, Time: 177.3 seconds
Name: -, Instruction: Turn right, Distance: 41.5 meters, Time: 29.9 seconds
Name: -, Instruction: Turn left, Distance: 46.1 meters, Time: 33.2 seconds
Name: Derrimore Heights, Instruction: Turn right onto Derrimore Heights, Distance: 434.6 meters, Time: 312.9 seconds
Name: Diorella Drive, Instruction: Turn left onto Diorella Drive, Distance: 2.2 meters, Time: 1.6 seconds
Name: Diorella Drive, Instruction: Keep left onto Diorella Drive, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Arrive at Diorella Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
