Name: Chenies Mews, Instruction: Head southwest on Chenies Mews, Distance: 4.6 meters, Time: 3.3 seconds
Name: Huntley Street, Instruction: Turn left onto Huntley Street, Distance: 4.7 meters, Time: 3.4 seconds
Name: Capper Street, Instruction: Turn right onto Capper Street, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 87.1 meters, Time: 62.7 seconds
Name: Capper Street, Instruction: Turn left onto Capper Street, Distance: 18.6 meters, Time: 13.4 seconds
Name: Tottenham Court Road, Instruction: Turn left onto Tottenham Court Road, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Keep right, Distance: 61.4 meters, Time: 44.2 seconds
Name: Whitfield Street, Instruction: Turn left onto Whitfield Street, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 77.7 meters, Time: 55.9 seconds
Name: -, Instruction: Turn right, Distance: 74.8 meters, Time: 53.9 seconds
Name: Charlotte Street, Instruction: Turn left onto Charlotte Street, Distance: 4.6 meters, Time: 3.3 seconds
Name: Chitty Street, Instruction: Turn right onto Chitty Street, Distance: 6.5 meters, Time: 4.7 seconds
Name: Charlotte Street, Instruction: Turn left onto Charlotte Street, Distance: 90.3 meters, Time: 65.0 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: Charlotte Street, Instruction: Turn left onto Charlotte Street, Distance: 86.5 meters, Time: 62.3 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 86.6 meters, Time: 62.4 seconds
Name: -, Instruction: Turn left, Distance: 341.0 meters, Time: 245.5 seconds
Name: Oxford Street, Instruction: Turn right onto Oxford Street, Distance: 5.0 meters, Time: 3.6 seconds
Name: Newman Street, Instruction: Turn left onto Newman Street, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 50.0 meters, Time: 36.0 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
