Name: Calle Sur 177, Instruction: Head south on Calle Sur 177, Distance: 268.0 meters, Time: 193.0 seconds
Name: Calle Puente Santa Ana, Instruction: Turn right onto Calle Puente Santa Ana, Distance: 225.9 meters, Time: 162.7 seconds
Name: Calle Puente Santa Ana, Instruction: Keep left onto Calle Puente Santa Ana, Distance: 188.3 meters, Time: 135.6 seconds
Name: -, Instruction: Turn right, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn left, Distance: 248.6 meters, Time: 179.0 seconds
Name: -, Instruction: Turn slight right, Distance: 81.9 meters, Time: 59.0 seconds
Name: Calle Lenguas Indígenas, Instruction: Turn right onto Calle Lenguas Indígenas, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 41.1 meters, Time: 29.6 seconds
Name: Calle Cachita, Instruction: Turn right onto Calle Cachita, Distance: 37.7 meters, Time: 27.2 seconds
Name: Calle Náhuatl, Instruction: Turn left onto Calle Náhuatl, Distance: 193.6 meters, Time: 139.4 seconds
Name: -, Instruction: Arrive at Calle Náhuatl, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
