Name: Rue Élisa Lemonnier, Instruction: Head south on Rue Élisa Lemonnier, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 108.5 meters, Time: 78.1 seconds
Name: -, Instruction: Turn left, Distance: 305.1 meters, Time: 219.7 seconds
Name: -, Instruction: Turn left, Distance: 26.3 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 80.9 meters, Time: 58.2 seconds
Name: -, Instruction: Turn left, Distance: 88.9 meters, Time: 64.0 seconds
Name: -, Instruction: Keep left, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 176.5 meters, Time: 127.0 seconds
Name: -, Instruction: Turn slight left, Distance: 207.1 meters, Time: 149.1 seconds
Name: -, Instruction: Keep right, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Keep left, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 251.3 meters, Time: 181.0 seconds
Name: -, Instruction: Turn left, Distance: 33.0 meters, Time: 23.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 85.4 meters, Time: 61.5 seconds
Name: -, Instruction: Turn right, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Turn left, Distance: 91.3 meters, Time: 65.7 seconds
Name: -, Instruction: Turn slight left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 70.5 meters, Time: 50.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
