Name: Surin Avenue, Instruction: Head northeast on Surin Avenue, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 29.1 meters, Time: 21.0 seconds
Name: Charlton Lane, Instruction: Turn right onto Charlton Lane, Distance: 75.3 meters, Time: 54.2 seconds
Name: Charlton Lane, Instruction: Turn left onto Charlton Lane, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 277.6 meters, Time: 199.9 seconds
Name: -, Instruction: Turn right, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Turn slight right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn slight left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Keep right, Distance: 451.7 meters, Time: 325.2 seconds
Name: -, Instruction: Turn left, Distance: 53.0 meters, Time: 38.2 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 194.9 meters, Time: 140.3 seconds
Name: Upper Serangoon Road, Instruction: Turn right onto Upper Serangoon Road, Distance: 50.8 meters, Time: 36.6 seconds
Name: -, Instruction: Turn right, Distance: 215.5 meters, Time: 155.1 seconds
Name: -, Instruction: Turn right, Distance: 78.7 meters, Time: 56.7 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 65.1 meters, Time: 46.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
