Name: Wright Avenue, Instruction: Head east on Wright Avenue, Distance: 209.4 meters, Time: 150.8 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: Indian Road, Instruction: Turn left onto Indian Road, Distance: 97.0 meters, Time: 69.8 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn slight right, Distance: 145.6 meters, Time: 104.8 seconds
Name: -, Instruction: Turn left, Distance: 87.4 meters, Time: 62.9 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: Sunnyside Avenue, Instruction: Turn left onto Sunnyside Avenue, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 78.4 meters, Time: 56.4 seconds
Name: -, Instruction: Keep right, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: Geoffrey Street, Instruction: Turn right onto Geoffrey Street, Distance: 157.4 meters, Time: 113.3 seconds
Name: -, Instruction: Turn left, Distance: 98.0 meters, Time: 70.6 seconds
Name: -, Instruction: Turn right, Distance: 40.9 meters, Time: 29.4 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 70.2 meters, Time: 50.5 seconds
Name: Parkway Avenue, Instruction: Turn left onto Parkway Avenue, Distance: 81.8 meters, Time: 58.9 seconds
Name: -, Instruction: Turn right, Distance: 94.1 meters, Time: 67.8 seconds
Name: -, Instruction: Turn left, Distance: 81.7 meters, Time: 58.8 seconds
Name: -, Instruction: Keep left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Keep right, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Turn left, Distance: 48.4 meters, Time: 34.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
