Name: Buscomb Avenue, Instruction: Head southwest on Buscomb Avenue, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 200.8 meters, Time: 144.6 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 160.4 meters, Time: 115.5 seconds
Name: -, Instruction: Turn slight right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 26.2 meters, Time: 18.8 seconds
Name: -, Instruction: Turn slight right, Distance: 254.5 meters, Time: 183.2 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 63.8 meters, Time: 46.0 seconds
Name: Sturges Shared Path, Instruction: Keep left onto Sturges Shared Path, Distance: 257.4 meters, Time: 185.3 seconds
Name: Sturges Shared Path, Instruction: Turn right onto Sturges Shared Path, Distance: 15.8 meters, Time: 11.4 seconds
Name: Sturges Shared Path, Instruction: Turn left onto Sturges Shared Path, Distance: 25.9 meters, Time: 18.6 seconds
Name: Sturges Shared Path, Instruction: Turn slight left onto Sturges Shared Path, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 221.6 meters, Time: 159.6 seconds
Name: -, Instruction: Turn right, Distance: 119.6 meters, Time: 86.1 seconds
Name: -, Instruction: Turn right, Distance: 98.1 meters, Time: 70.6 seconds
Name: -, Instruction: Turn right, Distance: 76.9 meters, Time: 55.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
