Name: Rue Louis Blanc, D 106, Instruction: Head southwest on Rue Louis Blanc, D 106, Distance: 137.8 meters, Time: 99.2 seconds
Name: Avenue d'Alsace, Instruction: Keep right onto Avenue d'Alsace, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Keep right, Distance: 8.3 meters, Time: 6.0 seconds
Name: Passerelle Louis Blanc, Instruction: Turn slight left onto Passerelle Louis Blanc, Distance: 15.7 meters, Time: 11.3 seconds
Name: Passerelle Louis Blanc, Instruction: Turn right onto Passerelle Louis Blanc, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn left, Distance: 62.7 meters, Time: 45.1 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 70.0 meters, Time: 50.4 seconds
Name: Place de l'Iris, Instruction: Turn left onto Place de l'Iris, Distance: 99.1 meters, Time: 71.3 seconds
Name: Esplanade Sud, Instruction: Continue straight onto Esplanade Sud, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Keep left, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Continue straight, Distance: 82.6 meters, Time: 59.4 seconds
Name: -, Instruction: Turn slight right, Distance: 49.8 meters, Time: 35.8 seconds
Name: Cours Michelet, Instruction: Turn slight right onto Cours Michelet, Distance: 40.5 meters, Time: 29.2 seconds
Name: Cours Michelet, Instruction: Continue straight onto Cours Michelet, Distance: 51.8 meters, Time: 37.3 seconds
Name: Passerelle Vignes, Instruction: Continue straight onto Passerelle Vignes, Distance: 95.5 meters, Time: 68.8 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Turn slight right, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 85.9 meters, Time: 61.9 seconds
Name: -, Instruction: Turn right, Distance: 30.5 meters, Time: 22.0 seconds
Name: -, Instruction: Keep left, Distance: 50.8 meters, Time: 36.6 seconds
Name: -, Instruction: Turn right, Distance: 26.7 meters, Time: 19.2 seconds
Name: Rue du Général Leclerc, Instruction: Turn left onto Rue du Général Leclerc, Distance: 158.9 meters, Time: 114.4 seconds
Name: Rue Édouard Vaillant, Instruction: Turn right onto Rue Édouard Vaillant, Distance: 14.0 meters, Time: 10.1 seconds
Name: Cours du Maréchal Leclerc, Instruction: Keep left onto Cours du Maréchal Leclerc, Distance: 2.4 meters, Time: 1.7 seconds
Name: Cours du Maréchal Leclerc, Instruction: Continue straight onto Cours du Maréchal Leclerc, Distance: 7.8 meters, Time: 5.6 seconds
Name: Cours du Maréchal Leclerc, Instruction: Turn left onto Cours du Maréchal Leclerc, Distance: 153.4 meters, Time: 110.4 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 107.9 meters, Time: 77.7 seconds
Name: Rue Anatole France, D 9, Instruction: Turn sharp right onto Rue Anatole France, D 9, Distance: 26.5 meters, Time: 19.1 seconds
Name: Rue Montaigne, Instruction: Turn left onto Rue Montaigne, Distance: 243.1 meters, Time: 175.0 seconds
Name: Rue Monge, Instruction: Turn left onto Rue Monge, Distance: 21.9 meters, Time: 15.8 seconds
Name: Rue de la République, D 4, Instruction: Turn right onto Rue de la République, D 4, Distance: 202.4 meters, Time: 145.8 seconds
Name: Rue Fernand Pelloutier, Instruction: Turn left onto Rue Fernand Pelloutier, Distance: 10.1 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
