Name: Rue Duris, Instruction: Head north on Rue Duris, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 182.2 meters, Time: 131.2 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: Rue des Cendriers, Instruction: Turn left onto Rue des Cendriers, Distance: 14.3 meters, Time: 10.3 seconds
Name: Boulevard de Ménilmontant, Instruction: Turn slight left onto Boulevard de Ménilmontant, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: Allée Hanna Kamieniecki, Instruction: Keep left onto Allée Hanna Kamieniecki, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn slight left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 23.6 meters, Time: 17.0 seconds
Name: Rue des Bluets, Instruction: Turn left onto Rue des Bluets, Distance: 271.4 meters, Time: 195.4 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn slight left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 232.4 meters, Time: 167.3 seconds
Name: -, Instruction: Keep left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 165.1 meters, Time: 118.8 seconds
Name: -, Instruction: Turn slight left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Keep right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn slight left, Distance: 16.5 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: Rue Oberkampf, Instruction: Turn right onto Rue Oberkampf, Distance: 297.8 meters, Time: 214.4 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Keep right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Keep right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Keep left, Distance: 89.7 meters, Time: 64.6 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
