Name: شارع اللواء صالح حرب, Instruction: Head southwest on شارع اللواء صالح حرب, Distance: 76.1 meters, Time: 54.8 seconds
Name: شارع صديق جوهر, Instruction: Turn right onto شارع صديق جوهر, Distance: 569.7 meters, Time: 410.2 seconds
Name: -, Instruction: Turn left, Distance: 102.3 meters, Time: 73.6 seconds
Name: شارع الخليفه القاهر, Instruction: Turn left onto شارع الخليفه القاهر, Distance: 105.4 meters, Time: 75.9 seconds
Name: -, Instruction: Turn left, Distance: 96.2 meters, Time: 69.3 seconds
Name: -, Instruction: Turn left, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 151.9 meters, Time: 109.4 seconds
Name: -, Instruction: Turn right, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 123.7 meters, Time: 89.1 seconds
Name: -, Instruction: Turn right, Distance: 168.1 meters, Time: 121.1 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 296.5 meters, Time: 213.5 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
