Name: Cambridge Avenue, Instruction: Head north on Cambridge Avenue, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 244.4 meters, Time: 176.0 seconds
Name: -, Instruction: Keep left, Distance: 387.3 meters, Time: 278.9 seconds
Name: -, Instruction: Turn right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 79.2 meters, Time: 57.0 seconds
Name: -, Instruction: Keep left, Distance: 114.0 meters, Time: 82.1 seconds
Name: -, Instruction: Keep left, Distance: 108.6 meters, Time: 78.2 seconds
Name: -, Instruction: Keep left, Distance: 151.3 meters, Time: 108.9 seconds
Name: -, Instruction: Turn right, Distance: 102.5 meters, Time: 73.8 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn slight right, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Keep right, Distance: 7.3 meters, Time: 5.2 seconds
Name: Burley Avenue, Instruction: Turn left onto Burley Avenue, Distance: 81.5 meters, Time: 58.6 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
