Name: Place de la Darse, Instruction: Head east on Place de la Darse, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 105.7 meters, Time: 76.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: Rue de Cambrai, Instruction: Turn right onto Rue de Cambrai, Distance: 24.3 meters, Time: 17.5 seconds
Name: Rue de Cambrai, Instruction: Enter the roundabout and take the 1st exit onto Rue de Cambrai, Distance: 465.7 meters, Time: 335.3 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 52.0 meters, Time: 37.5 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 207.9 meters, Time: 149.7 seconds
Name: Allées Jacques Brel, Instruction: Turn right onto Allées Jacques Brel, Distance: 130.6 meters, Time: 94.1 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 233.9 meters, Time: 168.4 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 70.8 meters, Time: 50.9 seconds
Name: -, Instruction: Turn left, Distance: 122.3 meters, Time: 88.1 seconds
Name: -, Instruction: Turn slight left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 122.1 meters, Time: 87.9 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 121.5 meters, Time: 87.5 seconds
Name: Rue Henri Noguères, Instruction: Turn left onto Rue Henri Noguères, Distance: 108.1 meters, Time: 77.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Turn left, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn right, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
