Name: Rue Le Nôtre, Instruction: Head northwest on Rue Le Nôtre, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 65.6 meters, Time: 47.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 83.5 meters, Time: 60.1 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 182.6 meters, Time: 131.5 seconds
Name: -, Instruction: Turn slight right, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn left, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn slight right, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Turn right, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Turn right, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Turn left, Distance: 167.6 meters, Time: 120.7 seconds
Name: -, Instruction: Turn slight right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 100.9 meters, Time: 72.7 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn slight left, Distance: 349.8 meters, Time: 251.9 seconds
Name: -, Instruction: Turn slight right, Distance: 132.7 meters, Time: 95.6 seconds
Name: -, Instruction: Turn right, Distance: 236.1 meters, Time: 170.0 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Keep left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Keep right, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Keep left, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn left, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 194.9 meters, Time: 140.3 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 208.9 meters, Time: 150.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
